HP Inc. Common Stock,11.95,29962200
Direxion Daily,16.43,6630
Sony Corporation,25.4,1104750
eBay Inc.,28.97,13260200
General Motors ,35.73,14071300
Oracle Corporation ,38.7,15800500
Coca-Cola Company,42.77,15104600
Microsoft Corporation,55.21,34795000
Starbucks Corporation,61.22,8238120
United Parcel Service,103.3,2913920
Apple Inc.,116.28,47598100
Toyota Motor,125.74,325225
International Business Machines,139.7,4540880
FedEx Corporation ,157.87,1821290
Tesla Motors,231.99,4066490
Amazon.com,676.01,4159120
Alphabet Inc.,762.38,2050190
